wavelength_nm,n,k
187.9,1.380,1.073
191.7,1.350,1.133
195.3,1.340,1.173
199.4,1.330,1.188
203.3,1.330,1.211
207.4,1.300,1.240
212.0,1.300,1.304
216.5,1.300,1.367
221.5,1.300,1.426
226.4,1.310,1.502
231.4,1.300,1.596
237.1,1.320,1.670
242.7,1.320,1.717
249.1,1.330,1.760
255.2,1.330,1.803
261.7,1.350,1.847
268.9,1.400,1.869
276.2,1.430,1.878
284.5,1.470,1.889
292.4,1.490,1.893
301.0,1.530,1.898
310.9,1.530,1.893
320.5,1.540,1.889
331.6,1.480,1.883
342.5,1.480,1.871
354.3,1.500,1.866
368.0,1.480,1.895
381.7,1.460,1.933
397.4,1.470,1.952
413.3,1.460,1.958
430.5,1.450,1.948
451.0,1.380,1.914
471.7,1.310,1.849
496.0,1.040,1.833
521.0,0.620,2.081
549.1,0.430,2.455
582.2,0.290,2.863
617.0,0.210,3.272
659.7,0.140,3.697
704.5,0.130,4.103
756.2,0.140,4.542
821.3,0.160,5.083
892.9,0.170,5.663
984.8,0.220,6.350
1088.0,0.270,7.150
1216.0,0.350,8.145
1393.0,0.430,9.519
1610.4,0.560,11.210
1937.4,0.920,13.780
